A3L94ZSGI6JZ87  |  Lord of the Onion Rings  |  _  |  Reviewer ranking: #26,540,550  |  70%  |  (19 of 27)  |  
AAOUCJO2753I1  |  Jesse B. Walton  |  _  |  Reviewer ranking: #8,727,597  |  60%  |  (6 of 10)  |  
A3V9QQMNQFUCNV  |  M-Taliesin  |  Aurora, Co USA  |  Reviewer ranking: #1,325,468  |  59%  |  (217 of 365)  |  
A2I03HGPA5VW1D  |  ribosom  |  _  |  Reviewer ranking: #28,246,921  |  61%  |  (25 of 41)  |  
A20CWTU2BWWTE2  |  Josh  |  Indiana, USA  |  Reviewer ranking: #28,452,331  |  _  |  _  |  
AZCHJ4JB2ZPI4  |  Peter Andres  |  _  |  Reviewer ranking: #5,216,043  |  98%  |  (40 of 41)  |  
A1WO5HU3I9EX0S  |  Amanda Lee Baca  |  Colorado  |  Reviewer ranking: #25,967,075  |  25%  |  (1 of 4)  |  
A2VXFL9L1ULFDL  |  K. Chapman  |  _  |  Reviewer ranking: #21,770,872  |  57%  |  (8 of 14)  |  
A5DVX3B075B09  |  Patricia Kays  |  _  |  _  |  91%  |  (291 of 320)  |  
A1OILNKF650SGB  |  Jun Park  |  _  |  Reviewer ranking: #24,163,492  |  63%  |  (5 of 8)  |  
AGKJF15QQNVX6  |  klownboy  |  Minnesota - Where if its not mandated, its prohibited.  |  Reviewer ranking: #29,152,762  |  56%  |  (371 of 658)  |  
A1R6LE2MJ66RKN  |  Rhonda Morgan  |  Ga  |  Reviewer ranking: #30,070,960  |  44%  |  (14 of 32)  |  
A2E2MZF0G4I1J6  |  C. Lofthouse  |  Tallahassee, FL USA  |  Reviewer ranking: #25,808,598  |  50%  |  (1 of 2)  |  
A1A6B4JQJK0GG0  |  John G. Pollard  |  _  |  _  |  82%  |  (253 of 309)  |  
A18P7NK5UMGGIA  |  glammomj  |  redondo beach, ca USA  |  Reviewer ranking: #2,037,482  |  82%  |  (31 of 38)  |  
ASS1P2AA9MSY5  |  JNagarya  |  Reality  |  Reviewer ranking: #30,261,400  |  31%  |  (631 of 2,029)  |  
AX2JSTTT0LBMR  |  musicinmysoul  |  Arizona  |  _  |  _  |  _  |  
A3AL5DETVDKPQT  |  Grady Rainbow  |  Oklahoma City, OK USA  |  Reviewer ranking: #15,157,967  |  53%  |  (45 of 85)  |  
A3054W56Z7UD6N  |  Bigskygirl  |  WA  |  Reviewer ranking: #1,588,134  |  86%  |  (50 of 58)  |  
A29XKBB6SEYTN6  |  Tommy Dooley  |  London, England  |  _  |  93%  |  (3,573 of 3,852)  |  
A2USNKXCGR33IN  |  Vik Momjian  |  la,ca  |  Reviewer ranking: #2,827,770  |  100%  |  (6 of 6)  |  
A1FJ4I7CJT9NEX  |  J. Marc  |  NY, NY  |  Reviewer ranking: #26,921,310  |  100%  |  (4 of 4)  |  
A2W0YVG2BFNBGW  |  Lucila Rodriguez  |  _  |  Reviewer ranking: #19,711,846  |  _  |  _  |  
A1VC4NJ4MQO2WA  |  k in conway  |  _  |  Reviewer ranking: #2,967,004  |  56%  |  (19 of 34)  |  
A3AOPVQ7EZHTWA  |  frankp93  |  Connecticut United States  |  _  |  86%  |  (1,991 of 2,325)  |  
A2WNQRRQSGOFNW  |  L. Arakelian  |  CT, USA  |  Reviewer ranking: #143,613  |  75%  |  (92 of 123)  |  
A1D05JOSD1VUF5  |  Stephen  |  _  |  Reviewer ranking: #28,284,942  |  50%  |  (1 of 2)  |  
A19X22O7L9MD6F  |  Total_Overdose  |  _  |  Reviewer ranking: #27,436,305  |  100%  |  (3 of 3)  |  
A3LZABAXQIG26I  |  M. Anderson  |  SLC, UT  USA  |  Reviewer ranking: #27,296,389  |  50%  |  (1 of 2)  |  
AR5M4ZG7DU3OD  |  jeff yablon  |  Adelaide, Australia  |  Reviewer ranking: #28,711,315  |  100%  |  (10 of 10)  |  
AECTVSLJN5YPL  |  E. Castro  |  usa  |  Reviewer ranking: #6,137,485  |  70%  |  (19 of 27)  |  
